10	Administration	428866769	1700
20	Marketing	696003048	1800
30	Purchasing	223670049	1700
40	Human Resources	218329597	2400
50	Shipping	306289564	1500
60	IT	491928244	1400
70	Public Relations	831918075	2700
80	Sales	491468339	2500
90	Executive	661272028	1700
100	Finance	676071097	1700
110	Accounting	445658179	1700
120	Treasury		1700
130	Corporate Tax		1700
140	Control And Credit		1700
150	Shareholder Services		1700
160	Benefits		1700
170	Manufacturing		1700
180	Construction		1700
190	Contracting		1700
200	Operations		1700
210	IT Support		1700
220	NOC		1700
230	IT Helpdesk		1700
240	Government Sales		1700
250	Retail Sales		1700
260	Recruiting		1700
270	Payroll		1700
